
여기서부터 글
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8000, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8024, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8025, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8026, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8027, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8028, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8029, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8030, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8031, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8032, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8033, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8034, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8035, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8036, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8037, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8038, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8039, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8040, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8041, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8042, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8043, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8044, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8045, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8046, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8047, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8048, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8049, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8050, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8051, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8052, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8053, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8054, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8055, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8056, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8057, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8058, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8059, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8060, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8061, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8062, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8063, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8064, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8065, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8066, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8067, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8068, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8069, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8070, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8071, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8072, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8073, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8074, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8075, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8076, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8077, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8078, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8079, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8080, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8081, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8082, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8083, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8084, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8085, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8086, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8087, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8088, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8089, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8090, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8091, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8092, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8093, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8094, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8095, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8096, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8097, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8098, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8099, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8100, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8101, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8102, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8103, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8104, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8105, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8106, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8107, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8108, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8109, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8110, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8111, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8112, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8113, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8114, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8115, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8116, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8117, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8118, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8119, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8120, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8121, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8122, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8123, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8124, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8125, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8126, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8127, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8128, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8129, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8130, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8131, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8132, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8133, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8134, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8135, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8136, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8137, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8138, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8139, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8140, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8141, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8142, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8143, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8144, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8145, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8146, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8147, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8148, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8149, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8150, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8151, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8152, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8153, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8154, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8155, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8156, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8157, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8158, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8159, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8160, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8161, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
insert into bnd_document(group_no, document_no, member_id, document_content, document_regdate, document_finalday, document_destination) values (9999, 8162, 'test', '테스트', '20-04-14', '20-04-15', '소환사의 협곡');
